Title,Info,Rating,IMG_URL
Gintama.: Shirogane no Tamashii-hen,"TV (12 eps)
        Jan 2018 - Mar 2018
        176,784 members",8.81,https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206
Kingdom 4th Season,"TV (26 eps)
        Apr 2022 - 
        24,458 members",8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1566/122794.jpg?s=1dd290c4b0bc3df1083c456064109e2f
Kingdom 3rd Season,"TV (26 eps)
        Apr 2020 - Oct 2021
        68,877 members",8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45
Kizumonogatari III: Reiketsu-hen,"Movie (1 eps)
        Jan 2017 - Jan 2017
        401,764 members",8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc
Shiguang Dailiren,"ONA (11 eps)
        Apr 2021 - Jul 2021
        207,091 members",8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1135/114867.jpg?s=048f06f7edb150d017394574a108c72c
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"TV (10 eps)
        Oct 2016 - Dec 2016
        1,031,519 members",8.79,https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547
Monogatari Series: Second Season,"TV (26 eps)
        Jul 2013 - Dec 2013
        608,820 members",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1
Sen to Chihiro no Kamikakushi,"Movie (1 eps)
        Jul 2001 - Jul 2001
        1,605,180 members",8.78,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927
Cowboy Bebop,"TV (26 eps)
        Apr 1998 - Apr 1999
        1,609,517 members",8.76,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"TV (12 eps)
        Oct 2021 - Dec 2021
        584,176 members",8.75,https://cdn.myanimelist.net/r/50x70/images/anime/1028/117777.jpg?s=99ecca20cac2345fc956fda60a5e025f
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"TV (12 eps)
        Jan 2017 - Mar 2017
        169,001 members",8.75,https://cdn.myanimelist.net/r/50x70/images/anime/10/82947.jpg?s=9f1dd28adde3fea5a733d1cfd7be7ad6
Mushishi Zoku Shou 2nd Season,"TV (10 eps)
        Oct 2014 - Dec 2014
        236,003 members",8.74,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba
Odd Taxi,"TV (13 eps)
        Apr 2021 - Jun 2021
        304,812 members",8.74,https://cdn.myanimelist.net/r/50x70/images/anime/1981/113348.jpg?s=38082dbb5a64de5fc2129a59c46c3fe0
Hajime no Ippo,"TV (75 eps)
        Oct 2000 - Mar 2002
        479,752 members",8.74,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63
Vinland Saga,"TV (24 eps)
        Jul 2019 - Dec 2019
        1,090,858 members",8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b
86 Part 2,"TV (12 eps)
        Oct 2021 - Mar 2022
        302,301 members",8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1321/117508.jpg?s=c65bc9967a249eb362a1e037e13ebd73
Ashita no Joe 2,"TV (47 eps)
        Oct 1980 - Aug 1981
        41,498 members",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Movie (1 eps)
        Aug 2020 - Aug 2020
        272,113 members",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1142/112957.jpg?s=f0984cb6fcb8188ce26035b0b56de828
Mushishi Zoku Shou,"TV (10 eps)
        Apr 2014 - Jun 2014
        268,774 members",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/13/58533.jpg?s=ff40f900ea0877725ccde517b126c531
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"OVA (4 eps)
        Feb 1999 - Sep 1999
        256,896 members",8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1899/94562.jpg?s=22f366cd920bfe56e26e000170631e7f
Mo Dao Zu Shi: Wanjie Pian,"ONA (12 eps)
        Aug 2021 - Oct 2021
        55,872 members",8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1634/116782.jpg?s=f3e813705fd0d84678835c9f3d36f3dd
Code Geass: Hangyaku no Lelouch,"TV (25 eps)
        Oct 2006 - Jul 2007
        1,982,986 members",8.70,https://cdn.myanimelist.net/r/50x70/images/anime/5/50331.jpg?s=afd09d7e5d76283418a1a22e7c122ca9
